Date,Population,Region
2021-08-12,181913,regina
2021-08-13,12502,far north west
2021-08-13,182062,regina
2021-08-14,12581,far north west
2021-08-14,182182,regina
2021-08-15,12593,far north west
2021-08-15,182352,regina
2021-08-16,12597,far north west
2021-08-16,182439,regina
2021-08-17,12597,far north west
2021-08-17,182475,regina
2021-08-18,12608,far north west
2021-08-18,182624,regina
2021-08-19,12623,far north west
2021-08-19,182775,regina
2021-08-20,12640,far north west
2021-08-20,182862,regina
2021-08-21,12742,far north west
2021-08-21,183059,regina
2021-08-22,12766,far north west
2021-08-22,183194,regina
2021-08-23,12769,far north west
2021-08-23,183235,regina
2021-08-24,12771,far north west
2021-08-24,183274,regina
2021-08-25,12780,far north west
2021-08-25,183402,regina
2021-08-26,12798,far north west
2021-08-26,183543,regina
2021-08-27,12910,far north west
2021-08-27,183735,regina
2021-08-28,12939,far north west
2021-08-28,183890,regina
2021-08-29,12954,far north west
2021-08-29,184011,regina
2021-08-30,12969,far north west
2021-08-30,184106,regina
2021-08-31,12971,far north west
2021-08-31,184180,regina
2021-09-01,12987,far north west
2021-09-01,184293,regina
2021-09-02,13041,far north west
2021-09-02,184503,regina
2021-09-03,13055,far north west
2021-09-03,184711,regina
2021-09-04,13088,far north west
2021-09-04,184910,regina
2021-09-05,0,far north west
2021-09-05,0,regina
2021-09-06,13115,far north west
2021-09-06,185222,regina
2021-09-07,13116,far north west
2021-09-07,185292,regina
2021-09-08,0,far north west
2021-09-08,0,regina
2021-09-09,0,far north west
2021-09-09,0,regina
2021-09-10,0,far north west
2021-09-10,0,regina
2021-09-11,0,far north west
2021-09-11,0,regina
2021-09-12,13265,far north west
2021-09-12,186203,regina
2021-09-13,13311,far north west
2021-09-13,186281,regina
2021-09-14,13321,far north west
2021-09-14,186332,regina
2021-09-15,13347,far north west
2021-09-15,186525,regina
2021-09-16,13372,far north west
2021-09-16,186772,regina
2021-09-17,13415,far north west
2021-09-17,187014,regina
2021-09-18,13543,far north west
2021-09-18,187340,regina
2021-09-19,13661,far north west
2021-09-19,187717,regina
2021-09-20,13689,far north west
2021-09-20,187954,regina
2021-09-21,13715,far north west
2021-09-21,188107,regina
2021-09-22,13804,far north west
2021-09-22,188414,regina
2021-09-23,13908,far north west
2021-09-23,188894,regina
2021-09-24,14009,far north west
2021-09-24,189321,regina
2021-09-25,14095,far north west
2021-09-25,189755,regina
2021-09-26,0,far north west
2021-09-26,0,regina
2021-09-27,14180,far north west
2021-09-27,190254,regina
2021-09-28,14202,far north west
2021-09-28,190320,regina
2021-09-29,14268,far north west
2021-09-29,190657,regina
2021-09-30,14378,far north west
2021-09-30,191043,regina
2021-10-01,14615,far north west
2021-10-01,191470,regina
2021-10-02,14670,far north west
2021-10-02,191879,regina
2021-10-03,14769,far north west
2021-10-03,192299,regina
2021-10-04,14804,far north west
2021-10-04,192540,regina
2021-10-05,14815,far north west
2021-10-05,192789,regina
2021-10-06,14903,far north west
2021-10-06,193181,regina
2021-10-07,15072,far north west
2021-10-07,193532,regina
2021-10-08,15156,far north west
2021-10-08,193872,regina
2021-10-09,15318,far north west
2021-10-09,194403,regina
2021-10-10,15384,far north west
2021-10-10,194804,regina
2021-10-11,15391,far north west
2021-10-11,195007,regina
2021-10-12,15394,far north west
2021-10-12,195124,regina
2021-10-13,15485,far north west
2021-10-13,195784,regina
2021-10-14,15601,far north west
2021-10-14,195995,regina
2021-10-15,15660,far north west
2021-10-15,196249,regina
2021-10-16,15788,far north west
2021-10-16,196484,regina
2021-10-17,15845,far north west
2021-10-17,196716,regina
2021-10-18,15854,far north west
2021-10-18,196843,regina
2021-10-19,15896,far north west
2021-10-19,196926,regina
2021-10-20,15936,far north west
2021-10-20,197076,regina
2021-10-21,15998,far north west
2021-10-21,197226,regina
2021-10-22,16066,far north west
2021-10-22,197403,regina
2021-10-23,16137,far north west
2021-10-23,197590,regina
2021-10-24,16251,far north west
2021-10-24,197759,regina
2021-10-25,16260,far north west
2021-10-25,197855,regina
2021-10-26,16276,far north west
2021-10-26,197929,regina
2021-10-27,16293,far north west
2021-10-27,198065,regina
2021-10-28,16368,far north west
2021-10-28,198242,regina
2021-10-29,16425,far north west
2021-10-29,198440,regina
2021-10-30,16469,far north west
2021-10-30,198612,regina
2021-10-31,16509,far north west
2021-10-31,198742,regina
2021-11-01,16555,far north west
2021-11-01,198834,regina
2021-11-02,16559,far north west
2021-11-02,198899,regina
2021-11-03,16573,far north west
2021-11-03,199027,regina
2021-11-04,16609,far north west
2021-11-04,199184,regina
2021-11-05,16676,far north west
2021-11-05,199361,regina
2021-11-06,16703,far north west
2021-11-06,199554,regina
2021-11-07,16722,far north west
2021-11-07,199680,regina
2021-11-08,16724,far north west
2021-11-08,199748,regina
2021-11-09,16768,far north west
2021-11-09,199807,regina
2021-11-10,16798,far north west
2021-11-10,199937,regina
2021-11-11,16827,far north west
2021-11-11,200066,regina
2021-11-12,16910,far north west
2021-11-12,200164,regina
2021-11-13,16914,far north west
2021-11-13,200229,regina
2021-11-14,16925,far north west
2021-11-14,200312,regina
2021-11-15,16954,far north west
2021-11-15,200356,regina
2021-11-16,16962,far north west
2021-11-16,200380,regina
2021-11-17,16990,far north west
2021-11-17,200491,regina
2021-11-18,17006,far north west
2021-11-18,200563,regina
2021-11-19,17043,far north west
2021-11-19,200668,regina
2021-11-20,17071,far north west
2021-11-20,200767,regina
2021-11-21,17090,far north west
2021-11-21,200853,regina
2021-11-22,17091,far north west
2021-11-22,200920,regina
2021-11-23,17093,far north west
2021-11-23,200984,regina
2021-11-24,17111,far north west
2021-11-24,201085,regina
2021-11-25,17146,far north west
2021-11-25,201151,regina
2021-11-26,17171,far north west
2021-11-26,202094,regina
2021-11-27,17285,far north west
2021-11-27,203159,regina
2021-11-28,17337,far north west
2021-11-28,204311,regina
2021-11-29,17358,far north west
2021-11-29,205473,regina
2021-11-30,17361,far north west
2021-11-30,206346,regina
2021-12-01,17473,far north west
2021-12-01,207354,regina
2021-12-02,17556,far north west
2021-12-02,208248,regina
2021-12-03,17610,far north west
2021-12-03,208931,regina
2021-12-04,17694,far north west
2021-12-04,209551,regina
2021-12-05,0,far north west
2021-12-05,0,regina
2021-12-06,0,far north west
2021-12-06,0,regina
2021-12-07,0,far north west
2021-12-07,0,regina
2021-12-08,0,far north west
2021-12-08,0,regina
2021-12-09,0,far north west
2021-12-09,0,regina
2021-12-10,0,far north west
2021-12-10,0,regina
2021-12-11,0,far north west
2021-12-11,0,regina
2021-12-12,0,far north west
2021-12-12,0,regina
