Date,Region,"Total First Vaccine Doses","Total Fully Vaccinated","Total Vaccine Doses","New First Vaccine Doses","New Fully Vaccinated","New Vaccine Doses"
2020/08/14,"Far North East",,,,,,
2020/08/14,"North West",,,,,,
2020/08/14,"North West",,,,,,
2020/08/14,"North West",,,,,,
2020/08/14,"North West",,,,,,
2020/08/14,"North Central",,,,,,
2020/08/14,"North Central",,,,,,
2020/08/14,"North Central",,,,,,
2020/08/14,"North East",,,,,,
2020/08/14,"North East",,,,,,
2020/08/14,"North East",,,,,,
2020/08/14,Saskatoon,,,,,,
2020/08/14,"Central West",,,,,,
2020/08/14,"Central West",,,,,,
2020/08/14,"Central East",,,,,,
2020/08/14,"Central East",,,,,,
2020/08/14,"Central East",,,,,,
2020/08/14,"Central East",,,,,,
2020/08/14,"Central East",,,,,,
2020/08/14,Regina,,,,,,
2020/08/14,"South West",,,,,,
2020/08/14,"South West",,,,,,
2020/08/14,"South Central",,,,,,
2020/08/14,"South Central",,,,,,
2020/08/14,"South East",,,,,,
2020/08/14,"South East",,,,,,
2020/08/14,"South East",,,,,,
2020/08/14,"South East",,,,,,
2020/08/15,"Far North West",,,,,,
2020/08/15,"Far North West",,,,,,
2020/08/15,"Far North Central",,,,,,
2020/08/15,"Far North East",,,,,,
2020/08/15,"Far North East",,,,,,
2020/08/15,"North West",,,,,,
2020/08/15,"North West",,,,,,
2020/08/15,"North West",,,,,,
2020/08/15,"North West",,,,,,
2020/08/15,"North Central",,,,,,
2020/08/15,"North Central",,,,,,
2020/08/15,"North Central",,,,,,
2020/08/15,"North East",,,,,,
2020/08/15,"North East",,,,,,
2020/08/15,"North East",,,,,,
2020/08/15,Saskatoon,,,,,,
2020/08/15,"Central West",,,,,,
2020/08/15,"Central West",,,,,,
2020/08/15,"Central East",,,,,,
2020/08/15,"Central East",,,,,,
2020/08/15,"Central East",,,,,,
2020/08/15,"Central East",,,,,,
2020/08/15,"Central East",,,,,,
2020/08/15,Regina,,,,,,
2020/08/15,"South West",,,,,,
2020/08/15,"South West",,,,,,
2020/08/15,"South Central",,,,,,
2020/08/15,"South Central",,,,,,
2020/08/15,"South East",,,,,,
2020/08/15,"South East",,,,,,
2020/08/15,"South East",,,,,,
2020/08/15,"South East",,,,,,
2020/08/16,"Far North West",,,,,,
2020/08/16,"Far North West",,,,,,
2020/08/16,"Far North Central",,,,,,
2020/08/16,"Far North East",,,,,,
2020/08/16,"Far North East",,,,,,
2020/08/16,"North West",,,,,,
2020/08/16,"North West",,,,,,
2020/08/16,"North West",,,,,,
2020/08/16,"North West",,,,,,
2020/08/16,"North Central",,,,,,
2020/08/16,"North Central",,,,,,
2020/08/16,"North Central",,,,,,
2020/08/16,"North East",,,,,,
2020/08/16,"North East",,,,,,
2020/08/16,"North East",,,,,,
2020/08/16,Saskatoon,,,,,,
2020/08/16,"Central West",,,,,,
2020/08/16,"Central West",,,,,,
2020/08/16,"Central East",,,,,,
2020/08/16,"Central East",,,,,,
2020/08/16,"Central East",,,,,,
2020/08/16,"Central East",,,,,,
2020/08/16,"Central East",,,,,,
2020/08/16,Regina,,,,,,
2020/08/16,"South West",,,,,,
2020/08/16,"South West",,,,,,
2020/08/16,"South Central",,,,,,
2020/08/16,"South Central",,,,,,
2020/08/16,"South East",,,,,,
2020/08/16,"South East",,,,,,
2020/08/16,"South East",,,,,,
2020/08/16,"South East",,,,,,
2020/08/17,"Far North West",,,,,,
2020/08/17,"Far North West",,,,,,
2020/08/17,"Far North Central",,,,,,
2020/08/17,"Far North East",,,,,,
2020/08/17,"Far North East",,,,,,
2020/08/17,"North West",,,,,,
2020/08/17,"North West",,,,,,
2020/08/17,"North West",,,,,,
2020/08/17,"North West",,,,,,
2020/08/17,"North Central",,,,,,
2020/08/17,"North Central",,,,,,
2020/08/17,"North Central",,,,,,
2020/08/17,"North East",,,,,,
2020/08/17,"North East",,,,,,
2020/08/17,"North East",,,,,,
2020/08/17,Saskatoon,,,,,,
2020/08/17,"Central West",,,,,,
2020/08/17,"Central West",,,,,,
2020/08/17,"Central East",,,,,,
2020/08/17,"Central East",,,,,,
2020/08/17,"Central East",,,,,,
2020/08/17,"Central East",,,,,,
2020/08/17,"Central East",,,,,,
2020/08/17,Regina,,,,,,
2020/08/17,"South West",,,,,,
2020/08/17,"South West",,,,,,
2020/08/17,"South Central",,,,,,
2020/08/17,"South Central",,,,,,
2020/08/17,"South East",,,,,,
2020/08/17,"South East",,,,,,
2020/08/17,"South East",,,,,,
2020/08/17,"South East",,,,,,
2020/08/18,"Far North West",,,,,,
2020/08/18,"Far North West",,,,,,
2020/08/18,"Far North Central",,,,,,
2020/08/18,"Far North East",,,,,,
2020/08/18,"Far North East",,,,,,
2020/08/18,"North West",,,,,,
2020/08/18,"North West",,,,,,
2020/08/18,"North West",,,,,,
2020/08/18,"North West",,,,,,
2020/08/18,"North Central",,,,,,
2020/08/18,"North Central",,,,,,
2020/08/18,"North Central",,,,,,
2020/08/18,"North East",,,,,,
2020/08/18,"North East",,,,,,
2020/08/18,"North East",,,,,,
2020/08/18,Saskatoon,,,,,,
2020/08/18,"Central West",,,,,,
2020/08/18,"Central West",,,,,,
2020/08/18,"Central East",,,,,,
2020/08/18,"Central East",,,,,,
2020/08/18,"Central East",,,,,,
2020/08/18,"Central East",,,,,,
2020/08/18,"Central East",,,,,,
2020/08/18,Regina,,,,,,
2020/08/18,"South West",,,,,,
2020/08/18,"South West",,,,,,
2020/08/18,"South Central",,,,,,
2020/08/18,"South Central",,,,,,
2020/08/18,"South East",,,,,,
2020/08/18,"South East",,,,,,
2020/08/18,"South East",,,,,,
2020/08/18,"South East",,,,,,
2020/08/19,"Far North West",,,,,,
2020/08/19,"Far North West",,,,,,
2020/08/19,"Far North Central",,,,,,
2020/08/19,"Far North East",,,,,,
2020/08/19,"Far North East",,,,,,
2020/08/19,"North West",,,,,,
2020/08/19,"North West",,,,,,
2020/08/19,"North West",,,,,,
2020/08/19,"North West",,,,,,
2020/08/19,"North Central",,,,,,
2020/08/19,"North Central",,,,,,
2020/08/19,"North Central",,,,,,
2020/08/19,"North East",,,,,,
2020/08/19,"North East",,,,,,
2020/08/19,"North East",,,,,,
2020/08/19,Saskatoon,,,,,,
2020/08/19,"Central West",,,,,,
2020/08/19,"Central West",,,,,,
2020/08/19,"Central East",,,,,,
2020/08/19,"Central East",,,,,,
2020/08/19,"Central East",,,,,,
2020/08/19,"Central East",,,,,,
2020/08/19,"Central East",,,,,,
2020/08/19,Regina,,,,,,
2020/08/19,"South West",,,,,,
2020/08/19,"South West",,,,,,
2020/08/19,"South Central",,,,,,
2020/08/19,"South Central",,,,,,
2020/08/19,"South East",,,,,,
2020/08/19,"South East",,,,,,
2020/08/19,"South East",,,,,,
2020/08/19,"South East",,,,,,
2020/08/20,"Far North West",,,,,,
2020/08/20,"Far North West",,,,,,
2020/08/20,"Far North Central",,,,,,
2020/08/20,"Far North East",,,,,,
2020/08/20,"Far North East",,,,,,
2020/08/20,"North West",,,,,,
2020/08/20,"North West",,,,,,
2020/08/20,"North West",,,,,,
2020/08/20,"North West",,,,,,
2020/08/20,"North Central",,,,,,
2020/08/20,"North Central",,,,,,
2020/08/20,"North Central",,,,,,
2020/08/20,"North East",,,,,,
2020/08/20,"North East",,,,,,
2020/08/20,"North East",,,,,,
2020/08/20,Saskatoon,,,,,,
2020/08/20,"Central West",,,,,,
2020/08/20,"Central West",,,,,,
2020/08/20,"Central East",,,,,,
2020/08/20,"Central East",,,,,,
2020/08/20,"Central East",,,,,,
2020/08/20,"Central East",,,,,,
2020/08/20,"Central East",,,,,,
2020/08/20,Regina,,,,,,
2020/08/20,"South West",,,,,,
2020/08/20,"South West",,,,,,
2020/08/20,"South Central",,,,,,
2020/08/20,"South Central",,,,,,
2020/08/20,"South East",,,,,,
2020/08/20,"South East",,,,,,
2020/08/20,"South East",,,,,,
2020/08/20,"South East",,,,,,
2020/08/21,"Far North West",,,,,,
2020/08/21,"Far North West",,,,,,
2020/08/21,"Far North Central",,,,,,
2020/08/21,"Far North East",,,,,,
2020/08/21,"Far North East",,,,,,
2020/08/21,"North West",,,,,,
2020/08/21,"North West",,,,,,
2020/08/21,"North West",,,,,,
2020/08/21,"North West",,,,,,
2020/08/21,"North Central",,,,,,
2020/08/21,"North Central",,,,,,
2020/08/21,"North Central",,,,,,
2020/08/21,"North East",,,,,,
2020/08/21,"North East",,,,,,
2020/08/21,"North East",,,,,,
2020/08/21,Saskatoon,,,,,,
2020/08/21,"Central West",,,,,,
2020/08/21,"Central West",,,,,,
2020/08/21,"Central East",,,,,,
2020/08/21,"Central East",,,,,,
2020/08/21,"Central East",,,,,,
2020/08/21,"Central East",,,,,,
2020/08/21,"Central East",,,,,,
2020/08/21,Regina,,,,,,
2020/08/21,"South West",,,,,,
2020/08/21,"South West",,,,,,
2020/08/21,"South Central",,,,,,
2020/08/21,"South Central",,,,,,
2020/08/21,"South East",,,,,,
2020/08/21,"South East",,,,,,
2020/08/21,"South East",,,,,,
2020/08/21,"South East",,,,,,
2020/08/22,"Far North West",,,,,,
2020/08/22,"Far North West",,,,,,
2020/08/22,"Far North Central",,,,,,
2020/08/22,"Far North East",,,,,,
2020/08/22,"Far North East",,,,,,
2020/08/22,"North West",,,,,,
2020/08/22,"North West",,,,,,
2020/08/22,"North West",,,,,,
2020/08/22,"North West",,,,,,
2020/08/22,"North Central",,,,,,
2020/08/22,"North Central",,,,,,
2020/08/22,"North Central",,,,,,
2020/08/22,"North East",,,,,,
2020/08/22,"North East",,,,,,
2020/08/22,"North East",,,,,,
2020/08/22,Saskatoon,,,,,,
2020/08/22,"Central West",,,,,,
