Date,Region,"Total Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths,"New Cases","Age 4 and Under","Age 5 to 11","Age 12 to 19","Age 20 to 39","Ages 40 to 59","Age 60 to 79","Age 80+"
2020/08/13,"South East",,0,,,,,0,,,,,,,
2020/08/13,Total,1511,166,5,5,1325,20,27,,,,479,476,255,55
2020/08/14,"Far North West",346,0,0,0,339,7,0,,,,,,,
2020/08/14,"Far North West",,0,,,,,0,,,,,,,
2020/08/14,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/14,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/14,"Far North East",,0,,,,,0,,,,,,,
2020/08/14,"North West",101,0,0,0,92,4,0,,,,,,,
2020/08/14,"North West",,1,,,,,0,,,,,,,
2020/08/14,"North West",,4,,,,,0,,,,,,,
2020/08/14,"North West",,0,,,,,0,,,,,,,
2020/08/14,"North Central",68,2,1,1,64,1,1,,,,,,,
2020/08/14,"North Central",,1,,,,,0,,,,,,,
2020/08/14,"North Central",,0,,,,,0,,,,,,,
2020/08/14,"North East",65,0,0,0,64,0,0,,,,,,,
2020/08/14,"North East",,1,,,,,0,,,,,,,
2020/08/14,"North East",,0,,,,,0,,,,,,,
2020/08/14,Saskatoon,245,26,3,3,217,2,0,,,,,,,
2020/08/14,"Central West",160,9,0,0,148,0,0,,,,,,,
2020/08/14,"Central West",,3,,,,,0,,,,,,,
2020/08/14,"Central East",30,0,0,0,26,1,0,,,,,,,
2020/08/14,"Central East",,3,,,,,0,,,,,,,
2020/08/14,"Central East",,0,,,,,0,,,,,,,
2020/08/14,"Central East",,0,,,,,0,,,,,,,
2020/08/14,"Central East",,0,,,,,0,,,,,,,
2020/08/14,Regina,131,40,1,0,89,2,0,,,,,,,
2020/08/14,"South West",201,12,0,1,146,1,1,,,,,,,
2020/08/14,"South West",,42,,,,,22,,,,,,,
2020/08/14,"South Central",176,29,0,0,145,2,6,,,,,,,
2020/08/14,"South Central",,0,,,,,0,,,,,,,
2020/08/14,"South East",11,0,0,0,11,0,0,,,,,,,
2020/08/14,"South East",,0,,,,,0,,,,,,,
2020/08/14,"South East",,0,,,,,0,,,,,,,
2020/08/14,"South East",,0,,,,,0,,,,,,,
2020/08/14,Total,1541,174,5,5,1347,20,30,,,,486,486,262,55
2020/08/15,"Far North West",346,0,0,0,339,7,0,,,,,,,
2020/08/15,"Far North West",,0,,,,,0,,,,,,,
2020/08/15,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/15,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/15,"Far North East",,0,,,,,0,,,,,,,
2020/08/15,"North West",118,0,0,0,92,4,0,,,,,,,
